StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,PROLIFIC_PID,Group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"You are invited to participate in a research study entitled ""User perception of a talking chess robot"". The study is being conducted by Renchi Zhang, MSc, Dr. Dimitra Dodou, Dr.ir. Yke Bauke Eisma, and Prof.dr.ir. Joost de Winter, Delft University of Technology, The Netherlands, d.dodou@tudelft.nl.  The purpose of this study is to examine how people evaluate a talking chess robot, which is powered by artificial intelligence including ChatGPT. You will watch a short video of this robot and be asked to reflect on it. Additionally, you will be asked some general questions about technology. There are no right or wrong answers.   You must be at least 18 years old to participate. The survey will take approximately 10 minutes of your time.  The information collected through this survey is anonymous. You will not be personally identifiable in any research papers resulting from this study, in data files shared with other researchers, or in open data repositories. The research has been approved by the Delft University of Technology Human Research Ethics Committee.   If you have any questions about the research, feel free to contact the investigators at the email address provided above.   If you agree to participate and understand that your participation is voluntary, then continue. If you would not like to participate, then please close this page.",Have you ever heard of ChatGPT?,How often do you use ChatGPT?,Do you use a paid version of ChatGPT (Plus or Pro)?,Do you think this robot could be used in schools to explain to students how a robot works?,Comment on the technical quality of the robot as shown in the video. Mention positive or negative aspects.,Do you have any recommendations about how to improve the robot?,"Do you think that within 10 years, robots like this could serve as a replacement of existing screen-based computers to help understand technical topics such as computer vision? Please elaborate on why or why not.","Would you welcome a future where robots that can talk, equipped with artificial intelligence (such as improved versions of ChatGPT), replace human workers?",Do you think this robot could be used in schools to teach students chess?,Comment on the technical quality of the robot as shown in the video. Mention positive or negative aspects.,Do you have any recommendations about how to improve the robot?,"Do you think that within 10 years, robots like this could serve as a replacement of existing screen-based computers to improve chess skills? Please elaborate on why or why not.","Would you welcome a future where robots that can talk, equipped with artificial intelligence (such as improved versions of ChatGPT), replace human workers?",Do you think this robot could be used at home to provide entertainment?,Comment on the technical quality of the robot as shown in the video. Mention positive or negative aspects.,Do you have any recommendations about how to improve the robot?,"Do you think that within 10 years, robots like this could serve as a replacement of existing screen-based forms of entertainment such as television? Please elaborate on why or why not.","Would you welcome a future where robots that can talk, equipped with artificial intelligence (such as improved versions of ChatGPT), replace human workers?",What is your age?,How do you describe yourself?,What is the highest level of education you have completed?,Are you technology enthusiast?,Are you familiar with the movie 2001: A Space Odyssey?,Did you ever play in an official FIDE-rated chess tournament?,Are you a chess enthusiast?,Ability to exercise judgment.,Ability to improvise and use flexible procedures.,"Ability to handle highly complex operations, i.e., to do many different things at once.","Ability to respond quickly to control signals, and to apply great force smoothly and precisely.","Ability to perform repetitive, routine tasks.","Ability to reason inductively. (Inductive reasoning = making an educated guess, reasoning based on abstractions, generalization, argument by analogy, prediction).",Ability to detect small amounts of visual or acoustic energy.,Ability to perceive patterns of light or sound.,Ability to store very large amounts of information for long periods and to recall relevant facts at the appropriate time.,Ability to store information briefly and then to erase it completely.,"Ability to reason deductively, including computational ability.",Please provide any suggestions or comments on the survey.,PROLIFIC_PID,Group
2/12/2025 22:24,2/12/2025 22:32,IP Address,35.149.89.124,100,510,True,2/12/2025 22:32,R_3eqq7Gofo6sZ3Tk,,,,,42.7892,-85.5167,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Less than once a month,No,,,,,,,,,,,Probably yes,seemed very good at chess,perhaps the sound would become a bit annoying. Might change the sound of the movement.,"perhaps. probably not though, because of cost and too many are too lazy to be bothered.",Probably not,66,Female,Some University but no degree,Moderately,Slightly,No,Moderately,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,But it all depends on human programming.,5cdf2adac194e800187ad97a,3
2/12/2025 22:31,2/12/2025 22:35,IP Address,47.226.136.65,100,228,True,2/12/2025 22:35,R_5J8uHvrhM4sRIjL,,,,,35.6829,-85.7653,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,4-6 days a week,No,,,,,,Definitely yes,The robot is incredible ,It looks like it’s very cool and futuristic ,Definitely. It is more in depth and visual. ,Definitely yes,,,,,,34,Male,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree, etc.)",Extremely,Extremely,No,Very,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,,672cd3353e6ad16c974da631,2
2/12/2025 22:29,2/12/2025 22:35,IP Address,52.124.94.224,100,363,True,2/12/2025 22:35,R_6OGEs9Jk37UWjM2,,,,,44.4103,-78.4365,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Never,No,Definitely yes,The robot appears to work for its intended use. Unfortunately the sound the robot makes is a bit off putting and if someone was trying to learn from it they might be distracted. ,Perhaps a way to muffle the sound of the mechanics of the robot could be useful to keep focus on the actions rather than the sound. ,"Yes, I think robots could be helpful and serve as a replacement because seeing the action in 3D is easier to understand than seeing the same thing on a screen. ",Neutral,,,,,,,,,,,37,Female,University - Bachelors Degree,Moderately,Very,No,Not at all,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,,67ad02d116c0e031b208cf87,1
2/12/2025 22:27,2/12/2025 22:36,IP Address,70.53.49.139,100,485,True,2/12/2025 22:36,R_7EbCXnJ4ZDFVQc9,,,,,45.4015,-75.7304,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,4-6 days a week,No,,,,,,Definitely yes,"Clearly communicates why a move should be used, the benefits of the chess move, and gives some background context on why the move is used (e.g., ""[E4] is one of the most popular and aggressive moves for White"" and ""opening lines for my Queen and Bishop"")","Slower speech would help to process what the robot is saying, as it appears to give a lot of detail at once. ","Yes I think robots like this one could replace existing screen-based computers. The physical board may be prefered among players rather than a digital version. Additionally, seeing the robot move the pieces may be more efficient for the player's memory, but I am not sure. ",Probably not,,,,,,22,Female,Some University but no degree,Slightly,Slightly,No,Not at all,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,No issues with this survey! Thank you,67acd62125f6249308864042,2
2/12/2025 22:27,2/12/2025 22:36,IP Address,74.192.54.73,100,516,True,2/12/2025 22:36,R_8FWlrwL9VWbkqlK,,,,,32.5055,-95.4031,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,About once a month,No,Probably yes,"Technical quality seems fine, but I do not have a lot of experience with them.",I would like to see the code on screen as the robot explains how. ,"It's possible, but I would need to see code along with the explanation.",Probably not,,,,,,,,,,,50,Female,University - Bachelors Degree,Moderately,Very,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,,6768b5659a4b80b12fe08568,1
2/12/2025 22:34,2/12/2025 22:38,IP Address,78.86.35.158,100,277,True,2/12/2025 22:38,R_80Deztc9VK2oTCx,,,,,52.5474,-2.0097,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,4-6 days a week,No,,,,,,Definitely not,It moves accurately and swiftly.,"Maybe change the words used, as they are quite technical and not everyone can understand what the robot means.","No, because these robots are quite expensive and fragile compared to a standard computer.",Definitely not,,,,,,18,Female,Some Secondary,Moderately,Slightly,No,Moderately,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,None.,677302ad15f7e3d0c1725fef,2
2/12/2025 22:31,2/12/2025 22:40,IP Address,35.145.218.0,100,567,True,2/12/2025 22:40,R_2PRhEWLA33MHCCt,,,,,27.893,-82.5074,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Less than once a month,No,,,,,,,,,,,Definitely yes,"This robot moves smoothly, has good knowledge, an entertaining spirit, and a good voice to keep you entertained. I do not have a negative aspect.",The only recommendation I would suggest if not already in place is the ability of the robot to converse with the other person playing.,"I do believe that within the next 10 years robots such as the one in the video could be a great replacement for other forms of entertainment such as television or social media because it would draw attention to its consumers due to it being a new creation. It would also be a great replacement because instead of just consuming people's attention, it could teach people while entertaining.",Probably not,21,Female,Some University but no degree,Moderately,Moderately,No,Slightly,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,,67ad0d3c682da1762c4a55f4,3
2/12/2025 22:36,2/12/2025 22:41,IP Address,107.12.137.166,100,306,True,2/12/2025 22:41,R_33SUIxyiGzpmoxP,,,,,34.777,-77.3769,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Never,No,,,,,,Probably not,"The positive aspect of this robot are that you know the information that is programmed will be taught. However, on the negative side, there is no one on one communication and I am not sure if you can ask questions and receive an answer.",No I do not have any recommendations about how to improve the robot. ,I hope not. I am not pro AI being implemented into everyday life. ,Definitely not,,,,,,26,Female,University - Bachelors Degree,Not at all,Not at all,No,Not at all,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,,67acedc1ca320fb054920d13,2
2/12/2025 22:39,2/12/2025 22:44,IP Address,98.97.140.110,100,320,True,2/12/2025 22:44,R_5JDYIoEbzRXWboP,,,,,34.0544,-118.244,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Less than once a month,No,,,,,,,,,,,Probably not,The positive is it is informational. The negative is that it is very boring.,I suggest making the robot funny.,I do not think so because it is too boring.,Definitely not,36,Female,Secondary,Slightly,Slightly,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,,66a521b93899f43f84edab93,3
