"Response ID","Q6_Response","Group"
"R_6OGEs9Jk37UWjM2","Perhaps a way to muffle the sound of the mechanics of the robot could be useful to keep focus on the actions rather than the sound. ","1"
"R_8FWlrwL9VWbkqlK","I would like to see the code on screen as the robot explains how. ","1"
"R_7QzNPdA4ydCELbH","Maybe use different voices for different scenarios so people can relate more to the robot.","1"
"R_5Kxqw6pc9qG2EH5","No, I do not have any recommendations. ","1"
"R_3LKiyRiEJRSupO1","I do not have any recommendations for this model.","1"
"R_3Nqfuz1chvegwPK","Maybe explain things in more laymen's terms. This may be difficult to understand to some younger people, or older people for that matter.","1"
"R_678dUIkcKNYxvdD","The robot could be more personable than instructional at times when appropriate ","1"
"R_7QEYdofdTUlkztS","My only recommendation would be to make the robot appear more friendly to children.","1"
"R_61tvN6Hic4Z1pcI","The robot should be trained on how to win games based on the positions on the board. ","1"
"R_37QGDUEYtayrBbb","I really don't know enough about modern robot tech to have any input on improving this device. I'd be engaged in, eh, puffery, if I commented.","1"
"R_1xJLf5bjweJvYXv","maybe have a more soothing voice and have the option to go in more depth explanation.","1"
"R_7iqlChH8MIoA6zR","Add more intonation to sound more human","1"
"R_7DY6VvEvOGCH5YX","No, it speaks clearly.","1"
"R_3jf89CHraK8bVnZ","Make it faster in order to keep students attention","1"
"R_5Ez1xFTJCrX4zo2","It could explain what the Aruco markers are. It could be improved by having different settings for appropriate vocabulary for different age groups. For example, grade school kids would need simpler words than college students. ","1"
"R_2jfdWtRfiRe9O2o","no one cares how it works, it should just get straight into how to open","1"
"R_8pgtObTWHl2jvIK","free standing rather than clamped to edge of the table","1"
"R_8aE4Lsd2nQyZJeM","Noise should be decreased","1"
"R_8HH6aUkhjLUl3rz","give it some eyes to make it look human","1"
"R_1WLvcZ0J3qMrhlf","talk about strategies simpifly language","1"
"R_22K23E4qpv8LTbR","It needs to have a more human friendly fascia rather than just the mechanical arm","1"
"R_8oRVOGdkNwpFchj","improve outward design to make it more appealing. humanise the voice","1"
"R_2wROtZf2wYZqOhH","The robot could use more simple language, especially if talking to children ","1"
"R_8CsupRsHUkzp8wc","No, it seems suited for the job it's being asked to do.","1"
"R_11B8B59TLUA2Fba","No i don't really know any recommendations at this time","1"
"R_23vVQwWwBNitwIL","The low pitch of voice can often be drained sounding and lack the effect of keeping your attention instead sounding boring and repetitive ","1"
"R_8l3v7bvHix7cwus","Change the voice and dull down the language being used a little.","1"
"R_8h45Bl2rBd4YokF","i do not currently have any","1"
"R_6WTh5fkmmju4rMe","Different color than iPhone white","1"
"R_2dEwWncOsNM4aHb","Maybe the voice could be a bit more futuristic? ","1"
"R_22L4X9u1jRrfLHR","Perhaps pauses for thought ","1"
"R_4g7PgQAEpdy447j","It seems a bit too bulky, but that's just a visual thing.","1"
"R_2KDSAYY7XD3fw0n","i thought it was ok, maybe if it talked more human like and less robotic","1"
"R_8hFRJfA66RqH0ml","Maybe less techinical jargon - explain things as if explaining to a younger person (8 year old).","1"
"R_2ygQRwc1Wa704KJ","visual screen to show thought / logic processes","1"
"R_2e37qssbFbfwvcs","I do not have any recommendation","1"
"R_7thPITBGj8oR24n","It could move a little faster ","1"
"R_24PvrUshd27PTyx","it would look better if it was smaller and less intimidating","1"
"R_50qjFKeDpFOb2cV","Have the robot be able to respond to simple commands or questions (if its not already able to).","1"
"R_82suoiCIdhtPLiC","Quieter motors for the movement ","1"
"R_2oiHNNtkmJE6Km0","I think maybe for teaching purposes, the robot should less technical language and more so language that will resonate with the people who will learn from it.","1"
"R_1qsQZ6gQ4kFlmjT","Using simplistic analogies after discussing what process the robot is using could help kids to better understand what exactly is happening. ","1"
"R_1iufT7b6KSzCazL","No recommendations I have nothing to add to how to improve.","1"
"R_8gBeOiczOHl0yWa","perhaps make the operations more seamless and less monotonous ","1"
"R_3QURtGKcCUfdu0h","Maybe use a different voice to sound more human.","1"
"R_6rDB82KkvmrnTGa","Maybe make it look more friendly if you are going to use it with children","1"
"R_8t9i4ToV1MasOGt","Maybe imrpove the shape and look of it","1"
"R_8zbVEVVcPAe2rLZ","I would suggest the mechanism being quieter.","1"
"R_2uzhAM7oexIg1Rn","If it is to teach school children, it will have to explain or define the terminology it uses, such as ""occupancy"" ","1"
"R_49jLRMZcGtAylhf","Probably just change the language it uses to something more user friendly (speech to be more laymans)","1"
"R_2DYm4DeSRv1Z0tW","More simplified vocabulary ","1"
"R_202cppqL762UObI","yes make it more personal, about the way it analyses the strategy of chess","1"
"R_8PdvFvLEeaZYmqd","The voice could be less robotic","1"
"R_8PgRQO83X89zHzI","I would make it explain what it’s doing in a more simplistic way to help everyone understand easier ","1"
"R_4IFreW6M14cS3NT","The robot glossed over the procedure a little too quickly. A little bit more detail would have been since especially for younger kids if it's going to be used in schools","1"
"R_3LLpjM6koKX9sMg","Some people might prefer a robot that has visual characteristics of a human.","1"
"R_8CwtPjfrWH1PuvO","Yes, simplify the language, and it was very boring to listen to and watch","1"
"R_8LC0HISRqHFcE4d","It would be nice to hear it with a female voice, or a gender neutral voice.","1"
"R_2TZ4gmDqAuinsiH","No, I think the robot works well","1"
"R_8J1UOPpkaZKAtep","maybe change the look so it doesn't resemble a microscope.  ","1"
"R_2IzJKpiro5McpuR","Yes I would say a more human voice to sound more realistic. Also less background noise from robot.","1"
"R_2szfNwsCWzopt3B","Not being reliant on markers","1"
"R_23mBFKrau9dzj3K","If it is for children in schools, some of the words used are too complex and difficult.","1"
"R_8SW8wR0XkmmmCiJ","More realistic movements","1"
"R_6fxq6Jbh4RuJ65X","Perhaps making it look and sound more human could make it a little less intimidating","1"
"R_8p0dy1rnLWqa9ch","I would maybe add a screen to it and show some visual things alongside the audio.","1"
"R_8aLBXEZkV349qPK","speak in simpler language","1"
"R_8QQlzgDuzRkNyf8","Give the robot a less clinical look","1"
"R_3dtqVOunTsZnHkO","use simple English so users can understand","1"
"R_7vrVeZ8fSb2iox3","I think the design is very well made. The only thing I would change is cosmetic! ","1"
"R_1O6SHMbN5T3E7K2","Make the robot less 'robot-like' and attach an LED screen with a fun looking character or face. ","1"
"R_3OqXAWc2hJRfWhj","It would be nice to add some simplified version of robots actions explanations for younger children at schools.","1"
"R_54kferJTy9qTgzf","Perhaps a deeper explanation on what it is doing.","1"
"R_8ho9KtbEqFcCFTR","add a human element to it so its ai and real person","1"
"R_2mxiQ6obKuyib1P","Break down the technical terms into easier to understand steps.","1"
"R_2JCWG0PB6B7JBl0","A softer voice would make it less intimidating ","1"
"R_1CKmaJXJxmA2uVw","The design could potentially look sleeker in future models and it could maybe have varying degrees of detail in its explanations to appeal to different demographics.","1"
"R_7PpStFSG5EnF08V","Maybe talk less robotic and more personable.","1"
"R_2SUyGZQgdtjmB3z","Need more programmig feature to explain the task in different ways in case someone did not understand. ","1"
"R_5P6xNOoIp9cQ41p","I think a human like robot will be more interesting and exiting for kids","1"
"R_8iWi6Q4Vec15PpP","Depending on the age of the audience it might be beneficial to make the robot more sympathetic looking. If being used for younger audience this may help engage them and make it easier for them interact with the robot.","1"
"R_32kae309HOf4c6t","Eliminate the echo in the voice.","1"
"R_6lyE2aRuPqRfoR8","More inflection in the voice.","1"
"R_7M2EkpIw7LDkgQ9","give it a face made of lights to make it have more personality","1"
"R_8MT2e1bNofM7BYz","Perhaps a smoother voice that sounds less roboty. Only because it would make it seem even more impressive as well as make it easier for understanding what it's trying to explain. ","1"
"R_20Nyw7fWaQpObfY","Less visible wires might make it look better ","1"
"R_9fejUROz26yL3rg","The arm could have a more human like shape.","1"
"R_2nGVMCLqtI0x5cs","Talk through more how the robot will perform a certain task. ","1"
"R_1rjEXtNIRxXXqks","I would change the color, it looks like a dental instrument","1"
"R_8kdIjjwap8QlDcp","The video is a bit short so more information would be really valuable so the viewer understands what is being displayed, yes the robot understands the board but how is this put into motion? Does it play, or does it simply recognise the location of each pawn?","1"
"R_2tmJB5CoCE6WMiV","Robot’s movements are squeaky - a bit distracting ","1"
"R_8p3vVBfJy0Roc3J","No recommendations at this moment. ","1"
"R_8FLYQrJHbpeqZSZ","The robot seems excellent. it has a fully mechanical arm that allows it to accurately interact with the pieces on the board. I see no need to improvement as it just mimics the arm of a human playing in the same way.","1"
"R_1Oy8bRIzJQR51Fr","I would have it show several correct moves to show the actual ability.","1"
"R_30f5U6w60iM93JD","No I don’t have any recommendations ","1"
"R_4qyuhOpAv1pDb5I","no - other than please do not make it human looking I find those way to creepy","1"
"R_1afQB5m6jBvqgNP","Add algorithms to find the best move ","1"
"R_6QDtZGLLsEtrPI5","Already place such data into the system","1"
"R_2IQcXIbbogDw2w0","Maybe offer an option of familiar sounding voices with positive associations to further engage students e.g. Neil deGrasse Tyson","1"
"R_5Iyf6rPzSgWh1VV","I think just the sound of the movement which is a little bit distracting and takes away from the robot talking. ","1"
"R_2OcWZE5dOzmAge2","Have the robot explain how it plays I.E how many possible moves it's thought of ahead of time etc. Saying figures like this would really flex how much data process is going on! ","1"
"R_1B5nbwHhWv5DQgX","No recommendations except maybe making it a pretty color.","1"
"R_3OJi71bedx9M6EX","The voice could be made to sound more natural and ""conversation-like"" to draw in more interest.","1"
"R_8zdqNmleiEd0xrP","Less technical jargon ","1"
"R_6Blzb0bED9W94iy","Less noisy - every move had a noise associated with it.  Can the robot be made smaller, more sleek.","1"
"R_3FUsjIYWarUkUww","It would be ok for supplementary teaching after alrdy understand what the terms mean","1"
"R_7xVkmT4BNtYI4Y3","more inflectiion in the voice","1"
"R_8dFgplArAmn6f3Z","Different voice options","1"
"R_1JgTtvz5mg1hug9","looks good for playing chess","1"
