Q7_Response,Category
"perhaps. probably not though, because of cost and too many are too lazy to be bothered.",negative
"I do believe that within the next 10 years robots such as the one in the video could be a great replacement for other forms of entertainment such as television or social media because it would draw attention to its consumers due to it being a new creation. It would also be a great replacement because instead of just consuming people's attention, it could teach people while entertaining.",positive
I do not think so because it is too boring.,negative
"maybe if you are already into playing games but i dont think tv watchers are playing chess instead, not really the same way to spend free time",neutral
"Yes I think so, it is already common for robots to preform human's jobs. In 10 years it will only be more advanced.",positive
"yes, because our society desires more hands-on forms of automated entertainment.",positive
I don't think so because shows/movies have many elements tied into it and don't employ just 1 element of entertainment for us at a time. It wouldn't be enough to capture our attention and take away tv/,negative
"Not entirely, it might be able to play games or talk to you but it's not passive like television. Sometimes you just want to sit and not think.",negative
no. people want aspirational characters and robots are not,negative
I do not think we are there yet with artificial intelligence in the next 10 years.,negative
"yes and no, depending on the person and visual concept.",neutral
probably because they will outweigh humans and the way humans do things. make it more challenging for people,negative
TVs can show things from our imaginations that are not possible or costly. I don't think robots would be able to replace that. Robots would be a different form of entertainment.,negative
Possibly in 10 years robots will be better part of our life’s.,neutral
"I do not think this is possible because we are visual people. While robots could enrich this experience, it can't completely replace it. Not unless, VR capabilities were incorporated in someway.",negative
Probably - because entertainment industry is very board and has alot of section and sub-section it's goig to take more than 10yrs to beat that,negative
I don’t think it will replace the television it won’t be able to provide the same service but it likely will be used for people who may feel lonely,negative
Yes as it can entertain.,positive
Not really because some people like to watch screens.,negative
No. It8s too big and bulky when you could just play on your phone.,negative
"It can be an alternate form of entertainment, but not a replacement for TV. I think they serve different use cases.",negative
yes probably but not  in that same was as its not entertaining enough,neutral
Yes I think they provide could. I think as technology progresses people want to stay up to date. I'm not sure how it would work for me though,neutral
In part yes but I think it would need to be incorporated with it as people would miss tv too much I feel as a form of entertainment,neutral
"No, I think humans still need visual stimulation and we’ve gone beyond being entertained by real life.",negative
I dont think the robot is the same as a television but I can see it becoming its own form of entertaininment,neutral
"NO, I feel they could be useful, but I don't find it entertaining.",negative
