"Response ID","Q5_Response","Group"
"R_3eqq7Gofo6sZ3Tk","seemed very good at chess","3"
"R_2PRhEWLA33MHCCt","This robot moves smoothly, has good knowledge, an entertaining spirit, and a good voice to keep you entertained. I do not have a negative aspect.","3"
"R_5JDYIoEbzRXWboP","The positive is it is informational. The negative is that it is very boring.","3"
"R_50hMUayYB7dptbW","very loud and very large machine to have inside your home, looks like it would also be expensive to fix which may make people not purchase","3"
"R_5BRFcotHZ32CgBb","The technical quality of the robot is impressive. A positive aspect of the robot is that it can provide you with entertainment. A negative aspect of the robot is that it could cheat and be unfair.","3"
"R_2AKCElsCN3FK9e9","The smoothness of the movement mirrors that of a human, which would be nice to play against. Whereas the person playing against the robot may be discouraged becuase of its ominous physical appearance","3"
"R_1HMrtTwxldcaIve","The technical quality of the robot is astounding as it's able to mimic the dialogue and quote from the movie while performing the move itself. It isn't messing up the move at all and seems to be precise in the actions it does.","3"
"R_5v37ckRvW5jDuz2","The whirring was a bit loud but otherwise it looked as if it moved smoothly and precisely.","3"
"R_5S96AhKtPgSLYAG","the robot voice is too monotonish for entertainment purposes","3"
"R_362bLfXfeGY90qd","I think the AI robot moves swiftly and can make moves on the chess board. ","3"
"R_741TQB2hCugISfQ","the voice of the robot sounds very human like and its intelligence is impressive as it communicates.","3"
"R_7pmTt43EB4E9l74","the technical quality seems really simple rather than technical ","3"
"R_1Qc0Q5jWLNG7lWu","While a bit delayed the robot followed what the audio was saying. As someone with little chess knowledge it was interesting to see how the robot would follow along. ","3"
"R_8sLUba6Bj7cTVSN","It’s a very smart device but way too bulky","3"
"R_5oSbyWiQj0cOUuM","I think that the robot is quite skilled in the ability to perform game actions (chess moves) and discuss aspects at the same time. This makes for a very interactive and entertaining environment.","3"
"R_1ZBwPM4z8EnrpsF","it is very innovative ","3"
"R_86mSo0znBuAhmKo","I think the voice could be a bit more human like. Also I don’t like the look of it and the movement ","3"
"R_1ONNluNvvoPEB3j","Positive as it comply with human instructions.","3"
"R_8hlI43g7cB7VkfJ","Movement is pretty smooth and fluid","3"
"R_3EzcI77fiFaKakb","Technically it seems great.","3"
"R_5gMeUa9rNE0pVy3","It moves quite easily, has a whirring noise. Doesn't knock over pieces. It's sleek looking as well!","3"
"R_24zLd7xwQZCaKVB","its was very slow and boring, not what is class as entertaining","3"
"R_2knJLZKlu3lnkFr","It looks as if it follows instructions well but feel a bit like I'd only want to play the game with a person as it's as much about the social side for me as it is the game","3"
"R_2oYpH8aVEKm4rE7","I like it I think the movement of the robot and communication encourages you to talk engage ","3"
"R_2KWAQqdxzYLJZq9","It’s quite slow moving, the comments are quite distracting but could be comforting to some.","3"
"R_6wNway7wtiIDCvT","The robot is very precise with its movements ","3"
"R_3oI4z0ZViJ3hel7","Easy movement. Seems aware of that it is processing. Speed could increase.","3"
"R_8pMQufNlafHlfNH","It sounds good, doesn't sound too robotic, doesn't sound too monotone ","3"
"R_1rxmIDjp7jndp3J","It's very capable. The movements are smooth and deliberate","3"
"R_7Qv4UZYKvGJRRJL","The robots movements are smooth and his knowledge is vast","3"
"R_8L2do58ywi65zzk","The robot speaks very clearly and everything can be understood. It also gives very interesting information about the movie and how it relates to chess. It also moves the pieces well and accurately.","3"
"R_8fFEJdxcJsOf0xH","It can both move and talk. It identifies alternatives. It is not creepy.","3"
"R_5WYHIaXzbkIfYVa","it a little slow and cant make it mind up what position // but it does look like fun","3"
"R_8smEqSPjgR0RPem","the robot moves slowly but with precision.","3"
"R_8PIHbOaBa334bnz","Appears to be smoothly functioning and able to communicate well.","3"
"R_20SU39XHZo1tTwH","It was very impressive in it's fluidity and precision. Personality was a bit dull.","3"
"R_8JfId6CJsLxtpyF","Very accurate movement. Very noisy negative","3"
"R_8ZZA0VSZvSAqA9a","Seems dextrous enough for moving chess pieces.","3"
"R_8QRR470DokrX0rZ","Technically it looks fine and doing same things like a normal person does","3"
"R_7hzgzQnLQ2bWjFT","I was impressed with the robot's ability to physically move the pieces.  The tone of voice was good and the conversation felt natural.","3"
"R_5JqRqqsI9E395uh","It seems like it can do its tasks well, it seems to know what it’s doing playing chess","3"
"R_8iIRQ6j6XJxJyos","It comes across very clear, well spoken and it clearly well trained on chess in this instance. It moves smoothly and I was impressed with how it could accurately move the chess pieces.","3"
"R_2mq7e5z0vVKUjMA","It looks like it is well built. good quality materials and design","3"
"R_22M2AjmbyMpL1mm","The movement and motion was very smooth, albeit noisy.","3"
"R_2TIlAWtWDeaYUkp","It was clear and good description of what was asked ","3"
"R_7lGiSAvlNsTvDiV","The technical quality seemed pretty high. The robot clearly has fine motor movements enough to carefully grasp pieces and move them without knocking over others. It also combines this feature with a camera to plan its movements and audio.","3"
"R_8lzxGU2jOe37rq1","The robot is a bit clunky and too big for a domestic environment.","3"
"R_5rOFdn51mfIU2L7","It moves pretty quickly and speaks less robotic than I would have expected. It seems to have a good understanding and capability to play chess.","3"
